player,nationality,age,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,team,Pos1,Pos2
Lucas Torreira,uy URU,23.0,16.8,906.0,867.0,39.0,25.0,1.0,182.0,10.0,12,12.0,3.0,3.0,3.0,616.0,147.0,143.0,87.0,749.0,59.0,2.0,2.0,793.0,2.0,7.0,10.0,17.0,Arsenal,MF,
Ainsley Maitland-Niles,eng ENG,21.0,15.4,999.0,816.0,183.0,18.0,0.0,159.0,14.0,17,0.0,0.0,0.0,0.0,630.0,231.0,138.0,128.0,673.0,21.0,165.0,6.0,825.0,1.0,24.0,24.0,31.0,Arsenal,DF,
Shkodran Mustafi,de GER,27.0,13.4,790.0,773.0,17.0,16.0,0.0,109.0,29.0,2,0.0,0.0,0.0,0.0,592.0,66.0,132.0,33.0,682.0,48.0,1.0,4.0,663.0,0.0,15.0,4.0,14.0,Arsenal,DF,
Héctor Bellerín,es ESP,24.0,12.9,686.0,557.0,129.0,16.0,2.0,98.0,5.0,26,0.0,0.0,0.0,0.0,420.0,159.0,107.0,50.0,488.0,26.0,113.0,0.0,558.0,2.0,8.0,11.0,29.0,Arsenal,DF,
Calum Chambers,eng ENG,24.0,12.2,865.0,773.0,92.0,8.0,0.0,159.0,15.0,34,0.0,0.0,0.0,0.0,594.0,144.0,127.0,54.0,684.0,27.0,83.0,1.0,702.0,1.0,10.0,9.0,31.0,Arsenal,DF,
Kieran Tierney,sco SCO,22.0,11.0,544.0,457.0,87.0,7.0,1.0,75.0,12.0,44,0.0,0.0,0.0,0.0,304.0,111.0,129.0,379.0,50.0,30.0,80.0,0.0,414.0,3.0,16.0,4.0,21.0,Arsenal,DF,
Joe Willock,eng ENG,19.0,9.5,368.0,358.0,10.0,1.0,0.0,72.0,8.0,7,6.0,1.0,0.0,0.0,272.0,46.0,50.0,42.0,301.0,14.0,2.0,4.0,299.0,5.0,6.0,6.0,8.0,Arsenal,MF,FW
Emiliano Martínez,ar ARG,26.0,8.6,293.0,211.0,82.0,21.0,1.0,29.0,7.0,0,0.0,0.0,0.0,0.0,171.0,10.0,112.0,33.0,190.0,1.0,0.0,46.0,212.0,0.0,14.0,0.0,1.0,Arsenal,GK,
Eddie Nketiah,eng ENG,20.0,7.0,140.0,129.0,11.0,0.0,0.0,22.0,0.0,1,0.0,0.0,0.0,0.0,111.0,17.0,12.0,22.0,109.0,6.0,0.0,1.0,111.0,0.0,2.0,3.0,7.0,Arsenal,FW,
Reiss Nelson,eng ENG,19.0,7.0,234.0,214.0,20.0,4.0,1.0,51.0,9.0,26,14.0,6.0,6.0,0.0,164.0,35.0,35.0,31.0,198.0,3.0,1.0,1.0,186.0,0.0,2.0,8.0,9.0,Arsenal,FW,
Martinelli,br BRA,18.0,7.4,138.0,136.0,2.0,1.0,1.0,41.0,1.0,22,0.0,0.0,0.0,0.0,78.0,32.0,28.0,23.0,102.0,7.0,1.0,1.0,86.0,0.0,0.0,5.0,13.0,Arsenal,FW,
Rob Holding,eng ENG,23.0,6.5,338.0,329.0,9.0,8.0,1.0,39.0,12.0,0,0.0,0.0,0.0,0.0,269.0,20.0,49.0,41.0,275.0,14.0,1.0,0.0,292.0,2.0,10.0,3.0,2.0,Arsenal,DF,
Nacho Monreal,es ESP,33.0,3.0,201.0,175.0,26.0,1.0,0.0,41.0,1.0,4,0.0,0.0,0.0,0.0,145.0,38.0,18.0,162.0,11.0,1.0,25.0,1.0,182.0,1.0,0.0,1.0,5.0,Arsenal,DF,
Cédric Soares,pt POR,27.0,2.8,133.0,112.0,21.0,3.0,0.0,16.0,6.0,18,0.0,0.0,0.0,0.0,66.0,29.0,38.0,19.0,83.0,10.0,18.0,1.0,94.0,0.0,1.0,1.0,7.0,Arsenal,DF,
Pablo Marí,es ESP,25.0,1.3,91.0,90.0,1.0,1.0,0.0,4.0,3.0,0,0.0,0.0,0.0,0.0,61.0,15.0,15.0,80.0,9.0,2.0,0.0,0.0,81.0,0.0,2.0,0.0,1.0,Arsenal,DF,
Henrikh Mkhitaryan,am ARM,30.0,1.2,77.0,73.0,4.0,1.0,2.0,13.0,3.0,4,2.0,0.0,2.0,0.0,62.0,6.0,9.0,20.0,52.0,2.0,1.0,0.0,58.0,2.0,3.0,0.0,5.0,Arsenal,FW,
Emile Smith-Rowe,eng ENG,19.0,1.1,36.0,36.0,0.0,0.0,0.0,8.0,1.0,1,0.0,0.0,0.0,0.0,27.0,6.0,3.0,3.0,32.0,1.0,0.0,0.0,30.0,0.0,1.0,1.0,1.0,Arsenal,MF,
Jack Grealish,eng ENG,23.0,35.9,1538.0,1335.0,203.0,74.0,5.0,345.0,83.0,140,78.0,48.0,6.0,9.0,1071.0,214.0,253.0,103.0,1363.0,20.0,30.0,7.0,1217.0,5.0,24.0,27.0,50.0,Aston Villa,FW,MF
Tyrone Mings,eng ENG,26.0,32.2,1333.0,1283.0,50.0,47.0,2.0,193.0,58.0,8,0.0,0.0,0.0,0.0,890.0,128.0,315.0,1071.0,157.0,67.0,3.0,3.0,1055.0,3.0,42.0,16.0,23.0,Aston Villa,DF,
Douglas Luiz,br BRA,21.0,29.0,1216.0,1151.0,65.0,44.0,2.0,177.0,58.0,24,3.0,0.0,1.0,0.0,696.0,246.0,274.0,123.0,979.0,70.0,6.0,13.0,984.0,2.0,28.0,14.0,12.0,Aston Villa,MF,
John McGinn,sco SCO,24.0,25.7,772.0,700.0,72.0,30.0,3.0,168.0,74.0,64,25.0,16.0,4.0,2.0,446.0,113.0,213.0,550.0,174.0,25.0,4.0,4.0,584.0,7.0,17.0,10.0,23.0,Aston Villa,MF,
Matt Targett,eng ENG,23.0,25.5,1219.0,978.0,241.0,33.0,0.0,218.0,34.0,81,10.0,7.0,0.0,2.0,605.0,290.0,324.0,789.0,133.0,77.0,198.0,5.0,894.0,4.0,25.0,18.0,41.0,Aston Villa,DF,
Anwar El Ghazi,nl NED,24.0,22.8,615.0,574.0,41.0,3.0,0.0,154.0,30.0,106,17.0,7.0,5.0,0.0,331.0,134.0,150.0,95.0,450.0,29.0,16.0,4.0,402.0,4.0,28.0,9.0,47.0,Aston Villa,FW,MF
