player,nationality,age,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,team,Pos1,Pos2
Romaine Sawyers,kn SKN,28,0.7,15.0,20.0,75.0,260.0,21.0,0.0,0.0,0.0,12.0,15.0,80.0,3.0,5.0,60.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Brom,MF,
Callum Robinson,ie IRL,25,0.7,7.0,9.0,77.8,131.0,9.0,0.0,0.0,0.0,5.0,6.0,83.3,2.0,3.0,66.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Brom,FW,
Hal Robson-Kanu,wal WAL,31,0.3,2.0,4.0,50.0,32.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Brom,FW,
Kyle Edwards,eng ENG,22,0.3,5.0,5.0,100.0,71.0,31.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,West Brom,MF,
Rekeem Harper,eng ENG,20,0.2,10.0,13.0,76.9,186.0,19.0,0.0,0.0,0.0,8.0,9.0,88.9,2.0,4.0,50.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,West Brom,MF,DF
Michail Antonio,eng ENG,30,1.0,10.0,21.0,47.6,130.0,12.0,0.0,2.0,0.0,9.0,14.0,64.3,1.0,5.0,20.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,West Ham,FW,MF
Aaron Cresswell,eng ENG,30,1.0,47.0,63.0,74.6,960.0,233.0,1.0,2.0,50.0,35.0,41.0,85.4,11.0,20.0,55.0,0,0.0,0.0,0.0,4.0,1.0,1.0,5.0,West Ham,DF,
Issa Diop,fr FRA,23,1.0,67.0,76.0,88.2,1354.0,478.0,1.0,2.0,50.0,46.0,47.0,97.9,20.0,27.0,74.1,0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,West Ham,DF,
Łukasz Fabiański,pl POL,35,1.0,22.0,29.0,75.9,634.0,396.0,0.0,0.0,0.0,14.0,14.0,100.0,8.0,15.0,53.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham,GK,
Ryan Fredericks,eng ENG,27,1.0,38.0,48.0,79.2,591.0,178.0,1.0,2.0,50.0,31.0,35.0,88.6,6.0,11.0,54.5,0,0.4,-0.4,6.0,2.0,3.0,3.0,3.0,West Ham,DF,
Angelo Ogbonna,it ITA,32,1.0,54.0,64.0,84.4,1264.0,210.0,1.0,1.0,100.0,31.0,37.0,83.8,22.0,26.0,84.6,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,West Ham,DF,
Declan Rice,eng ENG,21,1.0,56.0,67.0,83.6,1135.0,264.0,1.0,1.0,100.0,38.0,41.0,92.7,17.0,25.0,68.0,0,0.1,-0.1,1.0,4.0,2.0,0.0,7.0,West Ham,MF,
Tomáš Souček,cz CZE,25,1.0,23.0,28.0,82.1,520.0,113.0,1.0,3.0,33.3,13.0,16.0,81.3,9.0,9.0,100.0,0,0.2,-0.2,2.0,2.0,1.0,0.0,6.0,West Ham,MF,
Jarrod Bowen,eng ENG,23,1.0,21.0,31.0,67.7,402.0,55.0,0.0,2.0,0.0,14.0,17.0,82.4,7.0,12.0,58.3,0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,West Ham,FW,
Pablo Fornals,es ESP,24,0.7,15.0,18.0,83.3,295.0,100.0,1.0,2.0,50.0,11.0,11.0,100.0,3.0,5.0,60.0,0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,West Ham,FW,
Mark Noble,eng ENG,33,0.7,37.0,44.0,84.1,718.0,188.0,0.0,0.0,0.0,28.0,32.0,87.5,9.0,12.0,75.0,0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,West Ham,MF,
Sébastien Haller,fr FRA,26,0.3,5.0,9.0,55.6,98.0,9.0,0.0,0.0,0.0,3.0,6.0,50.0,2.0,3.0,66.7,0,0.3,-0.3,1.0,0.0,0.0,0.0,0.0,West Ham,FW,
Andriy Yarmolenko,ua UKR,30,0.3,16.0,20.0,80.0,306.0,117.0,0.0,0.0,0.0,12.0,13.0,92.3,4.0,7.0,57.1,0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,West Ham,FW,MF
Felipe Anderson,br BRA,27,0.0,2.0,3.0,66.7,27.0,26.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,West Ham,FW,
Willy Boly,fr FRA,29,1.0,30.0,44.0,68.2,709.0,218.0,2.0,3.0,66.7,14.0,20.0,70.0,14.0,21.0,66.7,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Wolves,DF,
Conor Coady,eng ENG,27,1.0,29.0,37.0,78.4,834.0,319.0,0.0,2.0,0.0,10.0,11.0,90.9,19.0,24.0,79.2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Wolves,DF,MF
Leander Dendoncker,be BEL,25,1.0,28.0,35.0,80.0,470.0,84.0,0.0,2.0,0.0,23.0,28.0,82.1,5.0,5.0,100.0,0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,Wolves,DF,MF
Raúl Jiménez,mx MEX,29,1.0,35.0,42.0,83.3,513.0,126.0,2.0,3.0,66.7,29.0,32.0,90.6,4.0,7.0,57.1,0,0.3,-0.3,1.0,2.0,1.0,0.0,2.0,Wolves,FW,
Fernando Marçal,br BRA,31,1.0,33.0,40.0,82.5,471.0,163.0,0.0,0.0,0.0,29.0,33.0,87.9,4.0,7.0,57.1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Wolves,DF,
Rui Patrício,pt POR,32,1.0,17.0,24.0,70.8,831.0,542.0,0.0,0.0,0.0,1.0,1.0,100.0,16.0,23.0,69.6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Wolves,GK,
Romain Saïss,ma MAR,30,1.0,34.0,38.0,89.5,877.0,442.0,0.0,1.0,0.0,19.0,19.0,100.0,15.0,18.0,83.3,0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,Wolves,DF,MF
Adama Traoré,es ESP,24,1.0,21.0,36.0,58.3,418.0,119.0,0.0,2.0,0.0,16.0,26.0,61.5,5.0,8.0,62.5,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Wolves,FW,MF
João Moutinho,pt POR,33,0.9,41.0,49.0,83.7,1116.0,370.0,0.0,1.0,0.0,21.0,24.0,87.5,20.0,24.0,83.3,0,0.2,-0.2,4.0,0.0,0.0,0.0,4.0,Wolves,MF,
Daniel Podence,pt POR,24,0.8,19.0,28.0,67.9,476.0,121.0,0.0,0.0,0.0,10.0,15.0,66.7,9.0,13.0,69.2,1,0.1,0.9,1.0,1.0,3.0,1.0,4.0,Wolves,FW,MF
Pedro Neto,pt POR,20,0.8,21.0,27.0,77.8,383.0,88.0,1.0,3.0,33.3,15.0,16.0,93.8,5.0,8.0,62.5,1,0.0,1.0,1.0,2.0,0.0,0.0,4.0,Wolves,FW,
Oskar Buur,dk DEN,22,0.2,14.0,15.0,93.3,201.0,47.0,0.0,0.0,0.0,12.0,12.0,100.0,2.0,3.0,66.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wolves,DF,MF
Rúben Neves,pt POR,23,0.2,7.0,8.0,87.5,169.0,47.0,0.0,0.0,0.0,4.0,4.0,100.0,3.0,4.0,75.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Wolves,MF,
Vitinha,pt POR,20,0.1,5.0,5.0,100.0,55.0,4.0,2.0,2.0,100.0,3.0,3.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Wolves,MF,
