Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Diego Rico,es ESP,DF,26,27,27,"2,332",0,4,0,0,6,0,0.00,0.15,0.15,0.00,0.15,0.4,0.4,2.6,0.01,0.10,0.12,0.01,0.12,Matches
Adam Smith,eng ENG,DF,28,24,24,"2,055",0,1,0,0,7,0,0.00,0.04,0.04,0.00,0.04,0.6,0.6,0.9,0.03,0.04,0.07,0.03,0.07,Matches
Joshua King,no NOR,"FW,MF",27,26,24,"2,011",6,4,3,3,0,0,0.27,0.18,0.45,0.13,0.31,5.9,4.4,3.6,0.28,0.17,0.44,0.21,0.37,Matches
Ryan Fraser,sco SCO,"MF,FW",25,28,21,"2,067",1,4,0,0,2,0,0.04,0.17,0.22,0.04,0.22,3.3,3.3,4.0,0.14,0.18,0.32,0.14,0.32,Matches
Harry Wilson,wal WAL,"MF,FW",22,31,20,"1,646",7,0,0,0,2,0,0.38,0.00,0.38,0.38,0.38,4.5,4.5,1.8,0.25,0.10,0.34,0.25,0.34,Matches
Dominic Solanke,eng ENG,"FW,MF",21,32,17,"1,651",3,1,0,0,1,0,0.16,0.05,0.22,0.16,0.22,3.9,3.9,1.0,0.22,0.06,0.28,0.22,0.28,Matches
Jack Stacey,eng ENG,DF,23,19,17,"1,549",0,2,0,0,2,0,0.00,0.12,0.12,0.00,0.12,0.3,0.3,2.3,0.02,0.13,0.15,0.02,0.15,Matches
Lewis Cook,eng ENG,MF,22,27,14,"1,352",0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.0,0.02,0.06,0.09,0.02,0.09,Matches
Dan Gosling,eng ENG,MF,29,24,14,"1,264",3,1,0,0,3,0,0.21,0.07,0.28,0.21,0.28,2.1,2.1,1.1,0.16,0.08,0.24,0.16,0.24,Matches
Simon Francis,eng ENG,DF,34,15,10,969,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.02,0.03,0.05,0.02,0.05,Matches
Chris Mepham,wal WAL,DF,21,12,10,912,1,0,0,0,1,0,0.10,0.00,0.10,0.10,0.10,0.6,0.6,0.1,0.06,0.01,0.07,0.06,0.07,Matches
David Brooks,wal WAL,MF,22,9,8,506,1,0,0,0,1,0,0.18,0.00,0.18,0.18,0.18,0.7,0.7,0.4,0.13,0.07,0.21,0.13,0.21,Matches
Junior Stanislas,eng ENG,"MF,DF",29,15,7,712,3,0,1,1,1,0,0.38,0.00,0.38,0.25,0.25,1.6,0.8,1.0,0.21,0.13,0.33,0.11,0.23,Matches
Lloyd Kelly,eng ENG,DF,20,8,7,639,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.01,0.03,0.04,0.01,0.04,Matches
