player,nationality,position,age,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,matches,team
Son Heung-min,kr KOR,"FW,MF",27,27.5,1241,26,155,492,691,147,1162,67,116,57.8,75,4,936,6827,4078,1273,868,68.2,46,69,Matches,Tottenham
Moussa Sissoko,fr FRA,MF,29,27.2,1537,77,388,864,394,32,1476,41,67,61.2,46,4,1035,6809,3739,1123,997,88.8,21,31,Matches,Tottenham
Davinson Sánchez,co COL,DF,23,27.0,1791,284,984,848,50,17,1754,8,11,72.7,8,0,1178,5694,2571,1210,1199,99.1,6,5,Matches,Tottenham
Harry Winks,eng ENG,MF,23,24.7,1840,58,411,1229,323,4,1773,14,22,63.6,15,1,1311,7361,3746,1423,1378,96.8,10,15,Matches,Tottenham
Lucas Moura,br BRA,"FW,MF",26,24.9,1190,31,146,606,548,86,1177,71,114,62.3,75,3,889,6418,3822,1201,830,69.1,57,69,Matches,Tottenham
Dele Alli,eng ENG,"MF,FW",23,20.5,1132,37,171,575,471,96,1076,32,63,50.8,36,7,747,4583,2502,1102,773,70.1,45,56,Matches,Tottenham
Hugo Lloris,fr FRA,GK,32,20.1,622,590,622,0,0,0,435,0,1,0.0,0,0,241,1077,614,222,220,99.1,1,0,Matches,Tottenham
Jan Vertonghen,be BEL,DF,32,18.3,1327,165,620,689,84,6,1227,2,5,40.0,2,0,785,4062,2044,833,819,98.3,4,6,Matches,Tottenham
Paulo Gazzaniga,ar ARG,GK,27,17.9,553,505,553,0,0,0,391,0,0,,0,0,239,909,496,231,229,99.1,1,0,Matches,Tottenham
Ben Davies,wal WAL,DF,26,15.9,1138,58,385,575,228,23,968,8,15,53.3,8,0,589,2749,1578,667,642,96.3,5,9,Matches,Tottenham
Giovani Lo Celso,ar ARG,"MF,FW",23,16.6,1233,29,191,704,448,28,1156,38,68,55.9,41,1,893,6823,3770,951,862,90.6,22,25,Matches,Tottenham
Eric Dier,eng ENG,"DF,MF",25,14.9,1035,118,475,547,61,11,1015,3,5,60.0,4,0,611,2911,1466,723,698,96.5,6,4,Matches,Tottenham
Érik Lamela,ar ARG,"MF,FW",27,13.5,772,17,94,360,396,44,717,31,45,68.9,33,0,581,4364,2569,701,551,78.6,28,30,Matches,Tottenham
Tanguy Ndombele,fr FRA,MF,22,11.2,772,20,140,457,223,27,758,36,50,72.0,38,2,614,3156,1847,611,563,92.1,15,16,Matches,Tottenham
Christian Eriksen,dk DEN,"MF,FW",27,12.2,868,17,136,430,350,21,779,3,12,25.0,3,0,554,2673,1495,679,573,84.4,17,14,Matches,Tottenham
Danny Rose,eng ENG,DF,29,9.9,682,47,194,340,201,14,594,11,22,50.0,14,1,443,2481,1435,428,415,97.0,5,7,Matches,Tottenham
Steven Bergwijn,nl NED,"FW,MF",21,7.8,351,4,53,171,160,27,339,10,26,38.5,13,0,235,1852,1143,342,233,68.1,12,16,Matches,Tottenham
Japhet Tanganga,eng ENG,DF,20,5.8,320,32,137,162,38,2,286,7,10,70.0,7,0,166,855,455,171,156,91.2,5,8,Matches,Tottenham
Ryan Sessegnon,eng ENG,DF,19,3.8,238,8,53,107,89,9,211,2,3,66.7,2,0,151,704,448,168,150,89.3,8,3,Matches,Tottenham
Kyle Walker-Peters,eng ENG,DF,22,2.7,244,12,67,117,75,6,219,3,4,75.0,3,0,188,964,599,177,171,96.6,0,4,Matches,Tottenham
Oliver Skipp,eng ENG,"MF,DF",18,0.9,46,1,16,30,2,0,46,2,2,100.0,2,0,30,132,68,27,26,96.3,1,1,Matches,Tottenham
Juan Foyth,ar ARG,DF,21,0.8,77,7,31,42,10,0,69,1,3,33.3,1,0,44,214,122,46,42,91.3,1,2,Matches,Tottenham
Gedson Fernandes,pt POR,"MF,DF",20,0.8,66,1,6,28,39,6,59,2,5,40.0,3,0,49,359,219,62,47,75.8,3,4,Matches,Tottenham
Victor Wanyama,ke KEN,MF,28,0.3,21,0,5,19,1,0,19,1,1,100.0,1,0,12,112,74,12,12,100.0,0,0,Matches,Tottenham
Troy Parrott,ie IRL,MF,17,0.1,5,0,2,3,0,0,4,0,0,,0,0,4,16,1,8,4,50.0,0,0,Matches,Tottenham
Georges-Kévin N'Koudou,fr FRA,FW,24,0.0,1,0,0,0,1,1,1,0,0,,0,0,1,25,25,3,1,33.3,0,0,Matches,Tottenham
Ben Foster,eng ENG,GK,36,38.0,1309,1057,1277,35,1,1,845,3,3,100.0,3,0,534,3603,2217,397,396,99.7,0,0,Matches,Watford
Abdoulaye Doucouré,fr FRA,MF,26,35.1,2065,74,421,1114,668,98,2053,49,78,62.8,51,2,1427,7288,3971,1619,1370,84.6,44,50,Matches,Watford
Étienne Capoue,fr FRA,MF,31,29.2,1748,97,455,1131,225,12,1671,32,44,72.7,33,2,1046,4341,1966,1053,995,94.5,10,28,Matches,Watford
Craig Cathcart,nir NIR,DF,30,27.6,1157,160,633,539,24,11,1135,4,6,66.7,4,0,607,2639,1066,600,584,97.3,3,5,Matches,Watford
Will Hughes,eng ENG,"MF,FW",24,25.0,1260,48,245,633,466,50,1198,25,31,80.6,26,2,741,4023,2474,839,693,82.6,31,38,Matches,Watford
Craig Dawson,eng ENG,DF,29,26.2,1225,167,634,562,79,47,1197,2,2,100.0,2,0,631,2921,1372,693,657,94.8,9,6,Matches,Watford
