player,nationality,position,age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches,team
Dani Ceballos,es ESP,MF,22,24,"1,692",71,49.5,18.8,18,80,6,42,4,1.75,29,21,+8,+0.43,+0.43,23.1,26.8,-3.7,-0.19,-0.02,Matches,Arsenal
Mesut Özil,de GER,MF,30,18,"1,438",80,42.0,16.0,18,80,0,,4,1.33,24,20,+4,+0.25,+0.07,19.7,22.8,-3.1,-0.20,-0.02,Matches,Arsenal
Lucas Torreira,uy URU,MF,23,29,"1,512",52,44.2,16.8,17,76,12,18,4,1.48,23,23,0,0.00,-0.38,20.6,25.9,-5.3,-0.32,-0.23,Matches,Arsenal
Ainsley Maitland-Niles,eng ENG,DF,21,20,"1,386",69,40.5,15.4,15,87,5,17,8,1.70,22,21,+1,+0.06,-0.24,21.2,23.2,-2.0,-0.13,+0.10,Matches,Arsenal
Shkodran Mustafi,de GER,DF,27,15,"1,207",80,35.3,13.4,13,87,2,41,3,1.40,21,17,+4,+0.30,+0.14,17.3,20.0,-2.7,-0.20,-0.03,Matches,Arsenal
Héctor Bellerín,es ESP,DF,24,15,"1,158",77,33.9,12.9,13,88,2,9,5,1.47,20,18,+2,+0.16,-0.08,17.1,20.8,-3.7,-0.29,-0.16,Matches,Arsenal
Calum Chambers,eng ENG,DF,24,14,"1,102",79,32.2,12.2,13,81,1,45,5,1.29,16,15,+1,+0.08,-0.19,16.1,13.2,+2.9,+0.23,+0.62,Matches,Arsenal
Kieran Tierney,sco SCO,DF,22,15,989,66,28.9,11.0,12,78,3,18,4,1.47,18,16,+2,+0.18,-0.04,14.6,20.4,-5.8,-0.53,-0.48,Matches,Arsenal
Joe Willock,eng ENG,"MF,FW",19,29,857,30,25.1,9.5,8,64,21,16,6,1.34,16,16,0,0.00,-0.28,12.7,17.5,-4.9,-0.51,-0.43,Matches,Arsenal
Emiliano Martínez,ar ARG,GK,26,9,771,86,22.5,8.6,8,90,1,51,29,1.78,16,9,+7,+0.82,+0.78,12.3,12.6,-0.3,-0.04,+0.20,Matches,Arsenal
Eddie Nketiah,eng ENG,FW,20,13,633,49,18.5,7.0,7,78,6,14,1,1.85,8,8,0,0.00,-0.26,7.3,10.7,-3.4,-0.48,-0.36,Matches,Arsenal
Reiss Nelson,eng ENG,FW,19,17,631,37,18.5,7.0,7,69,10,15,10,1.71,9,7,+2,+0.29,+0.09,8.3,10.8,-2.6,-0.37,-0.22,Matches,Arsenal
Martinelli,br BRA,FW,18,14,663,47,19.4,7.4,6,90,8,16,10,1.21,7,9,-2,-0.27,-0.60,8.0,11.1,-3.1,-0.43,-0.30,Matches,Arsenal
