player,nationality,position,age,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,matches,team
Antonio Rüdiger,de GER,DF,26,19.0,1449,1416,33,25,0,186,59,7,0,0,0,0,1054,153,242,274,1079,50,8,6,1272,6,24,5,13,Matches,Chelsea
Reece James,eng ENG,DF,19,16.8,1268,1077,191,26,3,202,29,110,10,4,6,0,802,227,239,104,951,31,155,4,1055,3,24,10,37,Matches,Chelsea
Marcos Alonso,es ESP,DF,28,15.9,1108,941,167,8,0,228,21,67,1,1,0,0,674,231,203,788,93,44,158,0,916,1,15,11,30,Matches,Chelsea
Fikayo Tomori,eng ENG,DF,21,14.3,1098,1078,20,10,1,130,15,4,0,0,0,0,884,73,141,274,765,35,10,0,981,0,17,6,14,Matches,Chelsea
Ross Barkley,eng ENG,MF,25,12.3,616,606,10,5,2,158,27,12,3,1,1,0,476,77,63,82,513,10,2,2,540,2,6,10,8,Matches,Chelsea
Emerson Palmieri,it ITA,DF,24,11.4,853,720,133,11,2,146,15,54,21,8,3,2,556,151,146,663,43,32,101,1,706,2,9,9,20,Matches,Chelsea
Olivier Giroud,fr FRA,FW,32,11.0,306,281,25,0,2,93,1,2,0,0,0,0,135,116,55,183,42,37,0,16,207,0,4,8,12,Matches,Chelsea
Pedro,es ESP,FW,32,7.3,331,328,3,1,3,89,9,21,1,0,1,0,223,61,47,102,211,13,1,3,259,0,5,6,12,Matches,Chelsea
Callum Hudson-Odoi,eng ENG,FW,18,9.6,476,449,27,2,1,139,30,63,18,5,7,0,302,77,97,57,392,16,7,1,384,2,12,7,15,Matches,Chelsea
Willy Caballero,ar ARG,GK,37,5.0,165,134,31,3,0,15,3,0,0,0,0,0,78,6,81,30,112,0,0,15,121,0,2,0,0,Matches,Chelsea
Ruben Loftus-Cheek,eng ENG,"MF,FW",23,2.3,131,129,2,2,1,12,4,1,0,0,0,0,104,16,11,14,109,6,0,1,116,0,3,2,1,Matches,Chelsea
