player,nationality,position,age,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,matches,team
Keinan Davis,eng ENG,FW,21,6.1,20,3.28,11,0,1,4,4,3,0.49,1,0,0,1,1,0,Matches,Aston Villa
Jota,es ESP,"FW,MF",28,3.7,8,2.15,7,0,0,0,1,1,0.27,1,0,0,0,0,0,Matches,Aston Villa
Danny Drinkwater,eng ENG,MF,29,2.9,4,1.39,3,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,Aston Villa
Henri Lansbury,eng ENG,MF,28,2.2,2,0.92,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Aston Villa
Jed Steer,eng ENG,GK,26,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Aston Villa
Jonathan Kodjia,ci CIV,"FW,MF",29,1.3,3,2.31,2,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,Aston Villa
Indiana Vassilev,us USA,"FW,MF",18,0.6,1,1.76,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Aston Villa
Borja Bastón,es ESP,"MF,FW",26,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Aston Villa
Aaron Ramsdale,eng ENG,GK,21,37.0,3,0.08,1,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Bournemouth
Callum Wilson,eng ENG,FW,27,32.3,58,1.80,43,0,3,5,7,7,0.22,2,0,1,1,3,0,Matches,Bournemouth
Jefferson Lerma,co COL,MF,24,30.0,34,1.13,28,0,2,0,4,2,0.07,2,0,0,0,0,0,Matches,Bournemouth
Philip Billing,dk DEN,MF,23,28.1,43,1.53,35,2,2,3,1,4,0.14,4,0,0,0,0,0,Matches,Bournemouth
Nathan Aké,nl NED,DF,24,27.8,13,0.47,7,0,1,4,1,2,0.07,1,0,0,1,0,0,Matches,Bournemouth
Steve Cook,eng ENG,DF,28,27.0,6,0.22,5,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Bournemouth
Diego Rico,es ESP,DF,26,25.9,52,2.01,23,28,0,0,0,7,0.27,4,2,0,0,0,1,Matches,Bournemouth
Adam Smith,eng ENG,DF,28,22.8,19,0.83,16,0,1,0,2,1,0.04,1,0,0,0,0,0,Matches,Bournemouth
Joshua King,no NOR,"FW,MF",27,22.3,56,2.51,37,0,11,3,5,8,0.36,4,0,2,1,1,0,Matches,Bournemouth
Ryan Fraser,sco SCO,"MF,FW",25,23.0,66,2.87,44,17,2,1,2,6,0.26,3,2,0,1,0,0,Matches,Bournemouth
Harry Wilson,wal WAL,"MF,FW",22,18.3,43,2.35,30,3,1,2,7,3,0.16,1,0,0,1,1,0,Matches,Bournemouth
Dominic Solanke,eng ENG,"FW,MF",21,18.3,43,2.34,30,0,3,5,5,5,0.27,2,0,1,1,1,0,Matches,Bournemouth
Jack Stacey,eng ENG,DF,23,17.2,16,0.93,14,0,2,0,0,2,0.12,2,0,0,0,0,0,Matches,Bournemouth
Lewis Cook,eng ENG,MF,22,15.0,32,2.13,24,2,1,3,2,4,0.27,2,0,0,1,1,0,Matches,Bournemouth
Dan Gosling,eng ENG,MF,29,14.0,18,1.28,15,0,0,1,2,1,0.07,1,0,0,0,0,0,Matches,Bournemouth
Simon Francis,eng ENG,DF,34,10.8,7,0.65,6,0,1,0,0,1,0.09,1,0,0,0,0,0,Matches,Bournemouth
Chris Mepham,wal WAL,DF,21,10.1,3,0.30,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Bournemouth
David Brooks,wal WAL,MF,22,5.6,8,1.42,6,1,0,1,0,1,0.18,0,0,0,1,0,0,Matches,Bournemouth
Junior Stanislas,eng ENG,"MF,DF",29,7.9,24,3.03,13,7,2,2,0,4,0.51,1,0,1,2,0,0,Matches,Bournemouth
Lloyd Kelly,eng ENG,DF,20,7.1,5,0.70,4,1,0,0,0,1,0.14,1,0,0,0,0,0,Matches,Bournemouth
Arnaut Groeneveld,nl NED,MF,22,7.0,8,1.14,5,1,0,0,2,0,0.00,0,0,0,0,0,0,Matches,Bournemouth
Andrew Surman,eng ENG,MF,32,2.6,1,0.38,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Bournemouth
Charlie Daniels,eng ENG,DF,32,1.4,4,2.86,3,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Bournemouth
Jack Simpson,eng ENG,DF,22,2.7,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Bournemouth
Mark Travers,ie IRL,GK,20,1.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Bournemouth
Jordon Ibe,eng ENG,DF,23,0.6,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Bournemouth
Sam Surridge,eng ENG,FW,21,0.3,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Bournemouth
Mathew Ryan,au AUS,GK,27,38.0,4,0.11,3,1,0,0,0,3,0.08,2,1,0,0,0,0,Matches,Brighton
Lewis Dunk,eng ENG,DF,27,35.9,25,0.70,23,2,0,0,0,3,0.08,3,0,0,0,0,0,Matches,Brighton
Dan Burn,eng ENG,DF,27,32.0,34,1.06,29,3,1,1,0,2,0.06,2,0,0,0,0,0,Matches,Brighton
Davy Pröpper,nl NED,MF,27,31.4,62,1.97,56,0,1,3,2,4,0.13,4,0,0,0,0,0,Matches,Brighton
Adam Webster,eng ENG,DF,24,29.6,21,0.71,19,1,1,0,0,1,0.03,1,0,0,0,0,0,Matches,Brighton
Neal Maupay,fr FRA,FW,22,30.7,71,2.31,51,0,7,9,4,7,0.23,6,0,1,0,0,0,Matches,Brighton
Dale Stephens,eng ENG,MF,30,28.1,40,1.42,38,0,0,2,0,3,0.11,3,0,0,0,0,0,Matches,Brighton
Aaron Mooy,au AUS,"MF,FW",28,23.2,70,3.02,51,12,3,2,2,7,0.30,4,1,2,0,0,0,Matches,Brighton
Martín Montoya,es ESP,DF,28,21.1,37,1.76,32,0,1,1,3,3,0.14,2,0,0,0,1,0,Matches,Brighton
Leandro Trossard,be BEL,"FW,MF",24,22.3,78,3.49,55,9,7,3,3,9,0.40,4,2,1,1,0,1,Matches,Brighton
Pascal Groß,de GER,"FW,MF",28,20.0,93,4.66,51,33,4,1,2,8,0.40,3,3,0,0,0,2,Matches,Brighton
Yves Bissouma,ml MLI,MF,22,14.0,11,0.79,10,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,Brighton
Aaron Connolly,ie IRL,FW,19,14.0,22,1.57,7,0,3,3,9,5,0.36,1,0,1,1,2,0,Matches,Brighton
Shane Duffy,ie IRL,DF,27,13.8,5,0.36,4,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,Brighton
Steven Alzate,co COL,"MF,DF",20,13.2,30,2.27,22,0,5,2,1,1,0.08,0,0,0,0,1,0,Matches,Brighton
Solly March,eng ENG,"DF,FW",25,12.7,32,2.52,24,3,3,0,2,2,0.16,2,0,0,0,0,0,Matches,Brighton
Glenn Murray,eng ENG,FW,35,8.9,12,1.36,7,0,1,3,1,1,0.11,1,0,0,0,0,0,Matches,Brighton
Bernardo,br BRA,DF,24,7.5,10,1.33,9,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,Brighton
Tariq Lamptey,eng ENG,DF,18,6.5,10,1.53,6,1,1,1,1,2,0.31,1,1,0,0,0,0,Matches,Brighton
Ezequiel Schelotto,it ITA,DF,30,4.0,3,0.75,1,0,0,1,1,1,0.25,0,0,0,0,1,0,Matches,Brighton
