player,nationality,position,age,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches,team
Antonio Rüdiger,de GER,DF,26,19.0,3,0,0,19,8,0,7,13,24,0,0,1,233,61,26,70.1,Matches,Chelsea
Reece James,eng ENG,DF,19,16.8,1,0,0,22,21,1,110,23,23,0,0,0,164,35,42,45.5,Matches,Chelsea
Marcos Alonso,es ESP,DF,28,15.9,4,0,0,16,15,2,67,20,19,1,0,0,183,42,31,57.5,Matches,Chelsea
Fikayo Tomori,eng ENG,DF,21,14.3,3,0,0,7,6,1,4,20,15,0,0,0,145,40,22,64.5,Matches,Chelsea
Ross Barkley,eng ENG,MF,25,12.3,0,0,0,9,15,0,12,8,11,0,0,0,97,10,15,40.0,Matches,Chelsea
Emerson Palmieri,it ITA,DF,24,11.4,3,0,0,4,16,2,54,17,7,0,0,0,116,17,7,70.8,Matches,Chelsea
Olivier Giroud,fr FRA,FW,32,11.0,1,0,0,17,9,9,2,2,3,0,0,0,47,44,41,51.8,Matches,Chelsea
Pedro,es ESP,FW,32,7.3,1,0,0,8,11,0,21,9,10,0,0,0,61,2,5,28.6,Matches,Chelsea
Callum Hudson-Odoi,eng ENG,FW,18,9.6,1,0,0,11,13,3,63,2,5,0,0,0,60,3,14,17.6,Matches,Chelsea
Willy Caballero,ar ARG,GK,37,5.0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,,Matches,Chelsea
Ruben Loftus-Cheek,eng ENG,"MF,FW",23,2.3,0,0,0,2,3,0,1,1,0,0,0,0,23,1,4,20.0,Matches,Chelsea
Billy Gilmour,sco SCO,MF,18,2.2,0,0,0,3,1,0,1,3,4,0,0,0,31,3,5,37.5,Matches,Chelsea
Michy Batshuayi,be BEL,FW,25,2.7,0,0,0,4,4,7,0,0,1,0,0,0,17,6,15,28.6,Matches,Chelsea
Tariq Lamptey,eng ENG,DF,18,0.4,0,0,0,0,1,0,2,0,0,0,0,0,6,0,0,,Matches,Chelsea
Faustino Anjorin,eng ENG,FW,17,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches,Chelsea
Armando Broja,al ALB,FW,17,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,Matches,Chelsea
Wilfried Zaha,ci CIV,"MF,FW",26,36.4,5,0,0,48,119,16,67,16,31,1,0,0,232,16,38,29.6,Matches,Crystal Palace
Jordan Ayew,gh GHA,"FW,MF",27,35.0,6,0,0,59,105,9,25,13,29,0,0,0,212,59,175,25.2,Matches,Crystal Palace
James McArthur,sco SCO,MF,31,34.3,6,0,0,56,35,4,42,61,70,1,0,0,345,44,61,41.9,Matches,Crystal Palace
Vicente Guaita,es ESP,GK,32,35.0,1,0,0,0,3,0,0,0,0,0,0,1,164,0,1,0.0,Matches,Crystal Palace
Cheikhou Kouyaté,sn SEN,"MF,DF",29,28.1,4,0,0,35,28,2,15,38,45,0,0,0,256,83,62,57.2,Matches,Crystal Palace
Patrick van Aanholt,nl NED,DF,28,27.9,0,0,0,9,8,2,88,46,32,0,0,1,243,12,17,41.4,Matches,Crystal Palace
Luka Milivojević,rs SRB,MF,28,27.9,12,0,0,49,27,1,146,39,37,0,1,0,331,31,21,59.6,Matches,Crystal Palace
Joel Ward,eng ENG,DF,29,26.5,4,0,0,24,29,0,37,52,31,0,0,0,271,52,26,66.7,Matches,Crystal Palace
Gary Cahill,eng ENG,DF,33,24.1,1,0,0,14,12,0,0,18,12,0,0,0,219,78,45,63.4,Matches,Crystal Palace
James Tomkins,eng ENG,DF,30,17.6,5,0,0,13,11,1,1,23,14,0,0,0,165,75,22,77.3,Matches,Crystal Palace
Martin Kelly,eng ENG,DF,29,17.2,0,0,0,9,0,0,20,15,18,0,0,0,115,33,24,57.9,Matches,Crystal Palace
James McCarthy,ie IRL,MF,28,18.7,9,0,0,31,18,0,35,27,42,0,0,0,244,15,18,45.5,Matches,Crystal Palace
Andros Townsend,eng ENG,MF,28,14.4,0,0,0,9,26,1,66,16,20,0,0,0,109,4,12,25.0,Matches,Crystal Palace
Scott Dann,eng ENG,DF,32,14.1,0,0,0,5,0,0,2,14,5,0,0,0,154,36,32,52.9,Matches,Crystal Palace
Christian Benteke,be BEL,FW,28,14.0,4,1,0,25,20,12,5,4,5,0,0,0,55,118,101,53.9,Matches,Crystal Palace
Jeffrey Schlupp,gh GHA,"MF,DF",26,11.5,2,0,0,17,12,1,9,13,6,0,0,0,80,19,16,54.3,Matches,Crystal Palace
