player,nationality,position,age,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches,team
Alexis Mac Allister,ar ARG,"MF,FW",20,3.9,84,130,64.6,1479,361,1,3,33.3,69,87,79.3,14,40,35.0,0,0.3,-0.3,5,7,1,1,11,Matches,Brighton
Alireza Jahanbakhsh,ir IRN,"FW,MF",25,3.5,84,140,60.0,1170,377,2,9,22.2,73,101,72.3,9,30,30.0,0,0.0,0.0,2,2,3,1,9,Matches,Brighton
Jürgen Locadia,nl NED,"MF,FW",25,1.0,9,19,47.4,136,8,0,3,0.0,9,15,60.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches,Brighton
Florin Andone,ro ROU,"MF,FW",26,0.8,8,12,66.7,77,20,0,1,0.0,8,11,72.7,0,0,,0,0.0,0.0,1,0,0,0,1,Matches,Brighton
Gaëtan Bong,cm CMR,"MF,DF",31,0.7,24,35,68.6,427,175,0,1,0.0,16,22,72.7,8,12,66.7,0,0.1,-0.1,2,3,1,1,4,Matches,Brighton
Nick Pope,eng ENG,GK,27,38.0,536,1180,45.4,24510,19365,1,2,50.0,128,132,97.0,407,1046,38.9,0,0.7,-0.7,4,39,1,0,2,Matches,Burnley
James Tarkowski,eng ENG,DF,26,38.0,913,1250,73.0,21245,7310,11,30,36.7,550,672,81.8,352,548,64.2,2,2.1,-0.1,14,69,9,0,73,Matches,Burnley
Dwight McNeil,eng ENG,MF,19,37.1,874,1277,68.4,16969,5382,16,87,18.4,648,780,83.1,210,410,51.2,6,6.7,-0.7,55,92,42,29,147,Matches,Burnley
Ashley Westwood,eng ENG,MF,29,35.0,1381,1854,74.5,28446,8336,31,60,51.7,940,1089,86.3,410,705,58.2,6,5.1,+0.9,51,158,29,6,204,Matches,Burnley
Ben Mee,eng ENG,DF,29,32.0,875,1172,74.7,20668,7937,7,19,36.8,527,598,88.1,341,555,61.4,1,0.6,+0.4,6,59,1,0,64,Matches,Burnley
